team,rival
The Citadel Bulldogs,VMI Keydets
The Citadel Bulldogs,Wofford Terriers
Trinity,Wesleyan
UCLA Bruins,USC Trojans
UConn Huskies,UMass
Utah State Aggies,Utah Utes
Utah State Aggies,Wyoming Cowboys
VMI Keydets,Virginia Tech Hokies
VMI Keydets,William & Mary Tribe
Valdosta State,West GeorgiaFCS
Virginia Cavaliers,Virginia Tech Hokies
Virginia Tech Hokies,West Virginia Mountaineers
Washington Huskies,Washington State Cougars
Wisconsin–Eau Claire,Wisconsin–Stout
