id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,startDateEastern,dayOfWeek,kickoffTimeStr,home_last_point_diff,away_last_point_diff,game_date,homeTeamRank,awayTeamRank,isRankedMatchup,capacity
401756957,2025,13,regular,2025-11-22 21:00:00+00:00,False,False,False,True,,4728.0,TDECU Stadium,248,Houston Cougars,fbs,Big 12,,,,1476.0,,2628,TCU Horned Frogs,fbs,Big 12,,,,1605.0,,,,,2025-11-22,Saturday,2025-11-22 16:00:00-05:00,16.0,34.0,2025-11-22,,,False,40000.0
401752779,2025,13,regular,2025-11-22 21:15:00+00:00,False,False,False,False,,3994.0,Williams-Brice Stadium,2579,South Carolina Gamecocks,fbs,SEC,,,,1645.0,,324,Coastal Carolina Chanticleers,fbs,Sun Belt,,,,1313.0,,,,,2025-11-22,Saturday,2025-11-22 16:15:00-05:00,-24.0,-38.0,2025-11-22,,,False,77559.0
401754605,2025,13,regular,2025-11-22 21:30:00+00:00,False,False,False,False,,3836.0,"Memorial Stadium (Clemson, SC)",228,Clemson Tigers,fbs,ACC,,,,1727.0,1727.0,231,Furman Paladins,fcs,Southern,,,,,,,,,2025-11-22,Saturday,2025-11-22 16:30:00-05:00,-3.0,,2025-11-22,,,False,81500.0
401761659,2025,13,regular,2025-11-22 22:00:00+00:00,False,False,False,True,,3644.0,Bobcat Stadium (TX),326,Texas State Bobcats,fbs,Sun Belt,,,,1542.0,,2433,Louisiana Monroe Warhawks,fbs,Sun Belt,,,,1004.0,,,,,2025-11-22,Saturday,2025-11-22 17:00:00-05:00,-19.0,-73.0,2025-11-22,,,False,30000.0
401760416,2025,13,regular,2025-11-23 00:00:00+00:00,False,False,False,True,,3653.0,Albertsons Stadium,68,Boise State Broncos,fbs,Mountain West,,,,1589.0,,36,Colorado State,fbs,Mountain West,,,,1223.0,,,,,2025-11-22,Saturday,2025-11-22 19:00:00-05:00,-27.0,-17.0,2025-11-22,,,False,36387
401760415,2025,13,regular,2025-11-23 00:00:00+00:00,False,False,False,True,,3713.0,Falcon Stadium,2005,Air Force Falcons,fbs,Mountain West,,,,1383.0,,167,New Mexico Lobos,fbs,Mountain West,,,,1458.0,,,,,2025-11-22,Saturday,2025-11-22 19:00:00-05:00,-19.0,25.0,2025-11-22,,,False,39441
401754601,2025,13,regular,2025-11-23 00:00:00+00:00,False,False,False,True,,721.0,Bobby Dodd Stadium,59,Georgia Tech Yellow Jackets,fbs,ACC,,,,1599.0,,221,Pittsburgh Panthers,fbs,ACC,,,,1665.0,,,,,2025-11-22,Saturday,2025-11-22 19:00:00-05:00,3.0,-7.0,2025-11-22,17.0,24.0,True,55000.0
401752908,2025,13,regular,2025-11-23 00:00:00+00:00,False,False,False,True,,3632.0,Beaver Stadium,213,Penn State Nittany Lions,fbs,Big Ten,,,,1938.0,,158,Nebraska Cornhuskers,fbs,Big Ten,,,,1648.0,,,,,2025-11-22,Saturday,2025-11-22 19:00:00-05:00,34.0,68.0,2025-11-22,,,False,106572
401762514,2025,13,regular,2025-11-23 00:30:00+00:00,False,False,False,True,,3895.0,Rice Stadium,242,Rice Owls,fbs,American Athletic,,,,1169.0,,249,North Texas Mean Green,fbs,American Athletic,,,,1716.0,,,,,2025-11-22,Saturday,2025-11-22 19:30:00-05:00,-26.0,49.0,2025-11-22,,,False,47000
401754599,2025,13,regular,2025-11-23 00:30:00+00:00,False,False,False,True,,3940.0,Stanford Stadium,24,Stanford Cardinals,fbs,ACC,,,,1246.0,,25,California Golden Bears,fbs,ACC,,,,1420.0,,,,,2025-11-22,Saturday,2025-11-22 19:30:00-05:00,10.0,13.0,2025-11-22,,,False,50424
