id,season,seasonType,week,startDate,homeTeam,awayTeam,homePoints,awayPoints,homePointDiff,awayPointDiff,homeClassification,awayClassification,neutralSite,venue,homeConference,awayConference,startTimeTBD,completed,conferenceGame,attendance,venueId,homeId,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes
401752680,2025,regular,1,2025-08-31 19:00:00+00:00,South Carolina,Virginia Tech,24.0,11.0,13.0,-13.0,fbs,fbs,True,Mercedes-Benz Stadium,SEC,ACC,False,True,False,,5348.0,2579,"[7, 3, 0, 14]",0.775375485420227,1706.0,1729.0,259,"[2, 6, 0, 3]",0.22462451457977295,1598.0,1575.0,5.151864455216693,,Aflac Kickoff
401754522,2025,regular,1,2025-08-31 23:30:00+00:00,Miami,Notre Dame,27.0,24.0,3.0,-3.0,fbs,fbs,False,Hard Rock Stadium,ACC,FBS Independents,False,True,False,,3948.0,2390,"[0, 14, 7, 6]",0.9616499543190002,1736.0,1743.0,87,"[0, 7, 0, 17]",0.038350045680999756,2173.0,2166.0,5.318312492748594,,
401754523,2025,regular,1,2025-09-02 00:00:00+00:00,North Carolina,TCU,14.0,48.0,-34.0,34.0,fbs,fbs,False,Kenan Stadium,ACC,Big 12,False,True,False,,3787.0,153,"[7, 0, 7, 0]",0.029689423739910126,1497.0,1417.0,2628,"[7, 13, 21, 7]",0.9703105762600899,1633.0,1713.0,3.407486721191629,,
401754528,2025,regular,2,2025-09-05 23:00:00+00:00,Louisville,James Madison,28.0,14.0,14.0,-14.0,fbs,fbs,False,L&N Federal Credit Union Stadium,ACC,Sun Belt,False,True,False,,3873.0,97,"[0, 6, 8, 14]",0.7146517038345337,1706.0,1727.0,256,"[7, 0, 7, 0]",0.2853482961654663,1627.0,1606.0,7.134433804940607,,
401752826,2025,regular,2,2025-09-05 23:30:00+00:00,Maryland,Northern Illinois,20.0,9.0,11.0,-11.0,fbs,fbs,False,SECU Stadium,Big Ten,Mid-American,False,True,False,,3665.0,120,"[3, 7, 3, 7]",0.27562257647514343,1509.0,1526.0,2459,"[0, 3, 6, 0]",0.7243774235248566,1470.0,1453.0,4.649374638913491,,
401752812,2025,regular,2,2025-09-06 16:00:00+00:00,Indiana,Kennesaw State,56.0,9.0,47.0,-47.0,fbs,fbs,False,"Memorial Stadium (Bloomington, IN)",Big Ten,Conference USA,False,True,False,,3830.0,84,"[14, 7, 21, 14]",0.9867881536483765,1800.0,1869.0,338,"[0, 6, 3, 0]",0.013211846351623535,1269.0,1200.0,3.090302435948307,,
401754525,2025,regular,2,2025-09-06 16:00:00+00:00,SMU,Baylor,45.0,48.0,-3.0,3.0,fbs,fbs,False,Gerald J. Ford Stadium,ACC,Big 12,False,True,False,,3735.0,2567,"[10, 14, 0, 14, 7, 0]",0.7657668590545654,1717.0,1703.0,239,"[0, 21, 3, 14, 7, 3]",0.23423314094543457,1569.0,1583.0,8.737381517894203,,
401757227,2025,regular,2,2025-09-06 16:00:00+00:00,Jacksonville State,Liberty,34.0,24.0,10.0,-10.0,fbs,fbs,False,AmFirst Stadium,Conference USA,Conference USA,False,True,True,,3662.0,55,"[7, 10, 7, 10]",0.6668782830238342,1634.0,1642.0,2335,"[7, 3, 0, 14]",0.33312171697616577,1502.0,1494.0,4.611249661121996,,
401752822,2025,regular,2,2025-09-06 16:00:00+00:00,Iowa State,Iowa,16.0,13.0,3.0,-3.0,fbs,fbs,False,Jack Trice Stadium,Big 12,Big Ten,False,True,False,,3772.0,66,"[6, 7, 0, 3]",0.8555827736854553,1619.0,1621.0,2294,"[0, 10, 3, 0]",0.14441722631454468,1682.0,1680.0,5.137924145830644,,
401754524,2025,regular,2,2025-09-06 16:00:00+00:00,NC State,Virginia,35.0,31.0,4.0,-4.0,fbs,fbs,False,Carter-Finley Stadium,ACC,ACC,False,True,False,,3670.0,152,"[7, 7, 21, 0]",0.6570654511451721,1507.0,1510.0,258,"[14, 10, 7, 0]",0.3429345488548279,1521.0,1518.0,8.126042888443141,,
401756885,2025,regular,2,2025-09-06 16:00:00+00:00,Texas Tech,Kent State,62.0,14.0,48.0,-48.0,fbs,fbs,False,Jones AT&T Stadium,Big 12,Mid-American,False,True,False,,3784.0,2641,"[21, 27, 7, 7]",0.989311695098877,1571.0,1639.0,2309,"[0, 0, 0, 14]",0.010688304901123047,1006.0,938.0,2.845913821655414,,
401752693,2025,regular,2,2025-09-06 16:00:00+00:00,Texas,San José State,38.0,7.0,31.0,-31.0,fbs,fbs,False,DKR-Texas Memorial Stadium,SEC,Mountain West,False,True,False,,3910.0,251,"[14, 14, 10, 0]",0.9815280437469482,1858.0,1896.0,23,"[0, 7, 0, 0]",0.018471956253051758,1467.0,1429.0,3.6535531729515283,,
401752811,2025,regular,2,2025-09-06 16:00:00+00:00,Penn State,Florida International,34.0,0.0,34.0,-34.0,fbs,fbs,False,Beaver Stadium,Big Ten,Conference USA,False,True,False,,3632.0,213,"[7, 3, 10, 14]",0.9701969027519226,2073.0,2087.0,2229,"[0, 0, 0, 0]",0.029803097248077393,1372.0,1358.0,4.026950736531958,,
401752825,2025,regular,2,2025-09-06 16:00:00+00:00,Duke,Illinois,19.0,45.0,-26.0,26.0,fbs,fbs,False,Wallace Wade Stadium,ACC,Big Ten,False,True,False,,3982.0,150,"[3, 10, 6, 0]",0.2791347801685333,1526.0,1462.0,356,"[7, 7, 14, 17]",0.7208652198314667,1578.0,1642.0,5.058968869408419,,
401754618,2025,regular,2,2025-09-06 16:00:00+00:00,Syracuse,UConn,27.0,20.0,7.0,-7.0,fbs,fbs,False,JMA Wireless Dome,ACC,FBS Independents,False,True,False,,1964.0,183,"[0, 6, 0, 14, 7]",0.2122134566307068,1476.0,1484.0,41,"[0, 14, 3, 3, 0]",0.7877865433692932,1454.0,1446.0,6.602095300884476,,
401754529,2025,regular,2,2025-09-06 16:00:00+00:00,Pittsburgh,Central Michigan,45.0,17.0,28.0,-28.0,fbs,fbs,False,Acrisure Stadium,ACC,Mid-American,False,True,False,,3752.0,221,"[7, 17, 7, 14]",0.9755685925483704,1470.0,1518.0,2117,"[0, 10, 7, 0]",0.02443140745162964,1252.0,1204.0,3.5595529031904913,,
401752694,2025,regular,2,2025-09-06 16:45:00+00:00,Texas A&M,Utah State,44.0,22.0,22.0,-22.0,fbs,fbs,False,Kyle Field,SEC,Mountain West,False,True,False,,3795.0,245,"[10, 20, 7, 7]",0.9838184118270874,1700.0,1724.0,328,"[6, 0, 8, 8]",0.016181588172912598,1418.0,1394.0,3.808337874202806,,
401756881,2025,regular,2,2025-09-06 19:30:00+00:00,Colorado,Delaware,31.0,7.0,24.0,-24.0,fbs,fbs,False,Folsom Field,Big 12,Conference USA,False,True,False,,3726.0,38,"[7, 10, 7, 7]",0.9253472685813904,1613.0,1660.0,48,"[0, 7, 0, 0]",0.07465273141860962,1500.0,1453.0,3.906826980049366,,
401752824,2025,regular,2,2025-09-06 19:30:00+00:00,Oregon,Oklahoma State,69.0,3.0,66.0,-66.0,fbs,fbs,False,Autzen Stadium,Big Ten,Big 12,False,True,False,,3626.0,2483,"[20, 21, 28, 0]",0.9958012700080872,1860.0,1992.0,197,"[0, 3, 0, 0]",0.004198729991912842,1334.0,1202.0,2.6418738763775176,,
401754637,2025,regular,2,2025-09-06 19:30:00+00:00,Clemson,Troy,27.0,16.0,11.0,-11.0,fbs,fbs,False,"Memorial Stadium (Clemson, SC)",ACC,Sun Belt,False,True,False,,3836.0,228,"[0, 3, 17, 7]",0.8717408776283264,1692.0,1696.0,2653,"[7, 9, 0, 0]",0.12825912237167358,1476.0,1472.0,5.6461113334510316,,
401762458,2025,regular,2,2025-09-06 19:30:00+00:00,Navy,UAB,38.0,24.0,14.0,-14.0,fbs,fbs,False,Navy-Marine Corps Memorial Stadium,American Athletic,American Athletic,False,True,True,,3852.0,2426,"[14, 10, 7, 7]",1.0,1543.0,1553.0,5,"[7, 17, 0, 0]",0.0,1319.0,1309.0,5.7014933667827785,,
401762461,2025,regular,2,2025-09-06 19:30:00+00:00,Western Michigan,North Texas,30.0,33.0,-3.0,3.0,fbs,fbs,False,Waldo Stadium,Mid-American,American Athletic,False,True,False,,3980.0,2711,"[0, 17, 7, 3, 3]",0.38369107246398926,1310.0,1312.0,249,"[0, 7, 10, 10, 6]",0.6163089275360107,1411.0,1409.0,13.082157990893087,,
401752689,2025,regular,2,2025-09-06 19:30:00+00:00,Missouri,Kansas,42.0,31.0,11.0,-11.0,fbs,fbs,False,Memorial Stadium,SEC,Big 12,False,True,False,,3838.0,142,"[6, 15, 7, 14]",0.9204921126365662,1640.0,1659.0,2305,"[21, 0, 3, 7]",0.07950788736343384,1632.0,1613.0,7.324718276252601,,
401761603,2025,regular,2,2025-09-06 19:30:00+00:00,UTSA,Texas State,36.0,43.0,-7.0,7.0,fbs,fbs,False,Alamodome,American Athletic,Sun Belt,False,True,False,,3604.0,2636,"[0, 14, 14, 8]",0.27091893553733826,1503.0,1499.0,326,"[2, 17, 10, 14]",0.7290810644626617,1623.0,1627.0,7.993288344920428,,
401756880,2025,regular,2,2025-09-06 19:30:00+00:00,Cincinnati,Bowling Green,34.0,20.0,14.0,-14.0,fbs,fbs,False,Nippert Stadium,Big 12,Mid-American,False,True,False,,3854.0,2132,"[7, 14, 10, 3]",0.9651085734367371,1477.0,1504.0,189,"[0, 3, 7, 10]",0.03489142656326294,1461.0,1434.0,3.2207508534805123,,
401752686,2025,regular,2,2025-09-06 19:30:00+00:00,Kentucky,Ole Miss,23.0,30.0,-7.0,7.0,fbs,fbs,False,Kroger Field,SEC,SEC,False,True,True,,3683.0,96,"[7, 6, 7, 3]",0.18089134991168976,1507.0,1524.0,145,"[0, 17, 10, 3]",0.8191086500883102,1939.0,1922.0,5.576328550071941,,
401752937,2025,regular,2,2025-09-06 19:30:00+00:00,Oregon State,Fresno State,27.0,36.0,-9.0,9.0,fbs,fbs,False,Reser Stadium,Pac-12,Mountain West,False,True,False,,3893.0,204,"[6, 9, 6, 6]",0.8809866905212402,1371.0,1365.0,278,"[7, 13, 0, 16]",0.11901330947875977,1516.0,1522.0,10.016643565438494,,
401752818,2025,regular,2,2025-09-06 19:30:00+00:00,Rutgers,Miami (OH),45.0,17.0,28.0,-28.0,fbs,fbs,False,SHI Stadium,Big Ten,Mid-American,False,True,False,,6577.0,164,"[7, 17, 7, 14]",0.9925628900527954,1524.0,1593.0,193,"[7, 3, 7, 0]",0.00743710994720459,1491.0,1422.0,4.348794069458188,,
