id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,startDateEastern,dayOfWeek,kickoffTimeStr,home_last_point_diff,away_last_point_diff
401766898,2025,1,regular,2025-08-29 23:00:00+00:00,False,True,False,False,,2031,Pitbull Stadium,2229,Florida International,fbs,Conference USA,42,"[7, 21, 7, 7]",0.952778697013855,1372.0,1372.0,2065,Bethune-Cookman,fcs,SWAC,9,"[3, 3, 0, 3]",0.04722130298614502,,,3.5516503900016345,,,2025-08-29 19:00:00-04:00,Friday,7:00 PM,,
401752802,2025,1,regular,2025-08-29 23:00:00+00:00,False,True,False,False,,3936,Spartan Stadium,127,Michigan State,fbs,Big Ten,23,"[7, 14, 2, 0]",1.0,1368.0,1403.0,2711,Western Michigan,fbs,Mid-American,6,"[0, 0, 0, 6]",0.0,1345.0,1310.0,3.7661354973196874,,,2025-08-29 19:00:00-04:00,Friday,7:00 PM,,
401752795,2025,1,regular,2025-08-29 23:30:00+00:00,False,True,False,False,,3832,"Memorial Stadium (Champaign, IL)",356,Illinois,fbs,Big Ten,52,"[14, 17, 7, 14]",0.9946691989898682,1578.0,1578.0,2710,Western Illinois,fcs,Big South-OVC,3,"[0, 0, 0, 3]",0.005330801010131836,,,2.8018660135329183,,,2025-08-29 19:30:00-04:00,Friday,7:30 PM,,
401756854,2025,1,regular,2025-08-29 23:30:00+00:00,False,True,False,False,,3833,Memorial Stadium,2305,Kansas,fbs,Big 12,46,"[14, 15, 10, 7]",0.9886996150016785,1633.0,1633.0,2681,Wagner,fcs,NEC,7,"[0, 7, 0, 0]",0.011300384998321533,,,2.6144160037316513,,,2025-08-29 19:30:00-04:00,Friday,7:30 PM,,
401754375,2025,1,regular,2025-08-30 00:00:00+00:00,False,True,False,False,,3726,Folsom Field,38,Colorado,fbs,Big 12,20,"[7, 3, 3, 7]",0.19433777034282684,1634.0,1613.0,59,Georgia Tech,fbs,ACC,27,"[0, 13, 7, 7]",0.8056622296571732,1536.0,1557.0,5.409469095229784,,,2025-08-29 20:00:00-04:00,Friday,8:00 PM,,
401752667,2025,1,regular,2025-08-30 00:00:00+00:00,False,True,False,False,,4727,McLane Stadium,239,Baylor,fbs,Big 12,24,"[3, 7, 7, 7]",0.3652919828891754,1604.0,1569.0,2,Auburn,fbs,SEC,38,"[7, 10, 14, 7]",0.6347080171108246,1574.0,1609.0,5.207606567811596,,,2025-08-29 20:00:00-04:00,Friday,8:00 PM,,
401757224,2025,1,regular,2025-08-30 01:30:00+00:00,False,True,True,False,,3631,BBVA Compass Stadium,2534,Sam Houston,fbs,Conference USA,21,"[7, 0, 0, 14]",0.03245411068201065,1411.0,1397.0,2439,UNLV,fbs,Mountain West,38,"[14, 10, 7, 7]",0.9675458893179893,1619.0,1633.0,3.6618211785683403,,,2025-08-29 21:30:00-04:00,Friday,9:30 PM,,
401760358,2025,1,regular,2025-08-30 02:30:00+00:00,False,True,False,False,,3935,CEFCU Stadium,23,San José State,fbs,Mountain West,14,"[0, 7, 7, 0]",0.12722167372703552,1484.0,1467.0,2117,Central Michigan,fbs,Mid-American,16,"[10, 3, 0, 3]",0.8727783262729645,1235.0,1252.0,6.0997865114863705,,,2025-08-29 22:30:00-04:00,Friday,10:30 PM,,
401752803,2025,1,regular,2025-08-30 16:00:00+00:00,False,True,False,False,,4729,Yulman Stadium,2655,Tulane,fbs,American Athletic,23,"[7, 13, 3, 0]",0.9883838891983032,1616.0,1644.0,77,Northwestern,fbs,Big Ten,3,"[3, 0, 0, 0]",0.011616110801696777,1431.0,1403.0,3.4735579019831504,,,2025-08-30 12:00:00-04:00,Saturday,12:00 PM,,
401752676,2025,1,regular,2025-08-30 16:00:00+00:00,False,True,True,False,,5348,Mercedes-Benz Stadium,2633,Tennessee,fbs,SEC,45,"[17, 14, 7, 7]",0.9442566633224487,1776.0,1799.0,183,Syracuse,fbs,ACC,26,"[0, 14, 6, 6]",0.05574333667755127,1499.0,1476.0,4.3399094147520065,,Aflac Kickoff,2025-08-30 12:00:00-04:00,Saturday,12:00 PM,,
401752797,2025,1,regular,2025-08-30 16:00:00+00:00,False,True,False,False,,3665,SECU Stadium,120,Maryland,fbs,Big Ten,39,"[7, 26, 6, 0]",0.9894888997077942,1438.0,1509.0,2226,Florida Atlantic,fbs,American Athletic,7,"[7, 0, 0, 0]",0.01051110029220581,1311.0,1240.0,4.6495327038332155,,,2025-08-30 12:00:00-04:00,Saturday,12:00 PM,,
401752801,2025,1,regular,2025-08-30 16:00:00+00:00,False,True,False,False,,3907,Ross-Ade Stadium,2509,Purdue,fbs,Big Ten,31,"[14, 7, 7, 3]",0.988307774066925,1207.0,1293.0,2050,Ball State,fbs,Mid-American,0,"[0, 0, 0, 0]",0.011692225933074951,1224.0,1138.0,2.588454535328131,,,2025-08-30 12:00:00-04:00,Saturday,12:00 PM,,
401762434,2025,1,regular,2025-08-30 16:00:00+00:00,False,True,False,False,,3852,Navy-Marine Corps Memorial Stadium,2426,Navy,fbs,American Athletic,52,"[7, 21, 10, 14]",0.996229350566864,1543.0,1543.0,2678,VMI,fcs,Southern,7,"[0, 0, 7, 0]",0.0037706494331359863,,,2.789700254532362,,,2025-08-30 12:00:00-04:00,Saturday,12:00 PM,,
401762792,2025,1,regular,2025-08-30 16:00:00+00:00,False,True,False,False,,3696,Dix Stadium,2309,Kent State,fbs,Mid-American,21,"[0, 7, 7, 7]",0.7979961633682251,1006.0,1006.0,2771,Merrimack,fcs,FCS Independents,17,"[0, 3, 3, 11]",0.2020038366317749,,,5.481133614709961,,,2025-08-30 12:00:00-04:00,Saturday,12:00 PM,,
401752673,2025,1,regular,2025-08-30 16:00:00+00:00,False,True,False,False,,3815,M. M. Roberts Stadium,2572,Southern Miss,fbs,Sun Belt,17,"[3, 7, 0, 7]",0.0314677357673645,1119.0,1107.0,344,Mississippi State,fbs,SEC,34,"[10, 3, 21, 0]",0.9685322642326355,1412.0,1424.0,4.441994027739813,,,2025-08-30 12:00:00-04:00,Saturday,12:00 PM,,
401752677,2025,1,regular,2025-08-30 16:00:00+00:00,False,True,False,False,,3861,Ohio Stadium,194,Ohio State,fbs,Big Ten,14,"[0, 7, 0, 7]",0.750937283039093,1974.0,1977.0,251,Texas,fbs,SEC,7,"[0, 0, 0, 7]",0.24906271696090698,1861.0,1858.0,3.8398377534422923,,,2025-08-30 12:00:00-04:00,Saturday,12:00 PM,,
401754520,2025,1,regular,2025-08-30 16:00:00+00:00,False,True,False,False,,3752,Acrisure Stadium,221,Pittsburgh,fbs,ACC,61,"[14, 20, 14, 13]",0.9959656000137329,1470.0,1470.0,2184,Duquesne,fcs,NEC,9,"[0, 6, 0, 3]",0.00403439998626709,,,3.47575245890134,,,2025-08-30 12:00:00-04:00,Saturday,12:00 PM,,
401752670,2025,1,regular,2025-08-30 16:45:00+00:00,False,True,False,False,,3683,Kroger Field,96,Kentucky,fbs,SEC,24,"[7, 3, 0, 14]",1.0,1498.0,1507.0,2649,Toledo,fbs,Mid-American,16,"[0, 2, 0, 14]",0.0,1454.0,1445.0,4.645077771761659,,,2025-08-30 12:45:00-04:00,Saturday,12:45 PM,,
401754518,2025,1,regular,2025-08-30 18:00:00+00:00,False,True,False,False,,3615,"Alumni Stadium (Chestnut Hill, MA)",103,Boston College,fbs,ACC,66,"[14, 7, 24, 21]",0.9878271818161011,1508.0,1508.0,2230,Fordham,fcs,Patriot,10,"[3, 0, 0, 7]",0.012172818183898926,,,2.976087307715974,,,2025-08-30 14:00:00-04:00,Saturday,2:00 PM,,
401757167,2025,1,regular,2025-08-30 18:00:00+00:00,False,True,False,False,,3892,Pratt & Whitney Stadium,41,UConn,fbs,FBS Independents,59,"[14, 21, 10, 14]",0.9877551794052124,1454.0,1454.0,2115,Central Connecticut,fcs,NEC,13,"[7, 3, 3, 0]",0.012244820594787598,,,3.95550409152391,,,2025-08-30 14:00:00-04:00,Saturday,2:00 PM,,
401756878,2025,1,regular,2025-08-30 18:00:00+00:00,False,True,False,False,,3842,Milan Puskar Stadium,277,West Virginia,fbs,Big 12,45,"[7, 3, 14, 21]",0.9934393763542175,1470.0,1470.0,2523,Robert Morris,fcs,NEC,3,"[0, 3, 0, 0]",0.006560623645782471,,,3.57973720985092,,,2025-08-30 14:00:00-04:00,Saturday,2:00 PM,,
401752806,2025,1,regular,2025-08-30 18:30:00+00:00,False,True,False,False,,3830,"Memorial Stadium (Bloomington, IN)",84,Indiana,fbs,Big Ten,27,"[7, 10, 10, 0]",0.5844941139221191,1800.0,1800.0,295,Old Dominion,fbs,Sun Belt,14,"[7, 0, 0, 7]",0.41550588607788086,1480.0,1480.0,3.9242669449124707,,,2025-08-30 14:30:00-04:00,Saturday,2:30 PM,,
401754519,2025,1,regular,2025-08-30 19:00:00+00:00,False,True,False,False,,3873,L&N Federal Credit Union Stadium,97,Louisville,fbs,ACC,51,"[21, 20, 7, 3]",0.9598361849784851,1706.0,1706.0,2198,Eastern Kentucky,fcs,UAC,17,"[0, 7, 0, 10]",0.04016381502151489,,,3.0636716021323727,,,2025-08-30 15:00:00-04:00,Saturday,3:00 PM,,
401752669,2025,1,regular,2025-08-30 19:30:00+00:00,False,True,False,False,,3917,Sanford Stadium,61,Georgia,fbs,SEC,45,"[14, 10, 14, 7]",0.9931291341781616,1998.0,2053.0,276,Marshall,fbs,Sun Belt,7,"[0, 0, 0, 7]",0.006870865821838379,1574.0,1519.0,2.831958872682932,,,2025-08-30 15:30:00-04:00,Saturday,3:30 PM,,
