id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,startDateEastern,dayOfWeek,kickoffTimeStr
401752673,2025,1,regular,2025-08-30 16:00:00+00:00,False,False,False,False,,3815,M. M. Roberts Stadium,2572,Southern Miss,fbs,Sun Belt,,,,1119.0,,344,Mississippi State,fbs,SEC,,,,1412.0,,,,,2025-08-30,Saturday,12:00 PM
401752803,2025,1,regular,2025-08-30 16:00:00+00:00,False,False,False,False,,4729,Yulman Stadium,2655,Tulane,fbs,American Athletic,,,,1616.0,,77,Northwestern,fbs,Big Ten,,,,1431.0,,,,,2025-08-30,Saturday,12:00 PM
401752801,2025,1,regular,2025-08-30 16:00:00+00:00,False,False,False,False,,3907,Ross-Ade Stadium,2509,Purdue,fbs,Big Ten,,,,1207.0,,2050,Ball State,fbs,Mid-American,,,,1224.0,,,,,2025-08-30,Saturday,12:00 PM
401752677,2025,1,regular,2025-08-30 16:00:00+00:00,False,False,False,False,,3861,Ohio Stadium,194,Ohio State,fbs,Big Ten,,,,1974.0,,251,Texas,fbs,SEC,,,,1861.0,,,,,2025-08-30,Saturday,12:00 PM
401752797,2025,1,regular,2025-08-30 16:00:00+00:00,False,False,False,False,,3665,SECU Stadium,120,Maryland,fbs,Big Ten,,,,1438.0,,2226,Florida Atlantic,fbs,American Athletic,,,,1311.0,,,,,2025-08-30,Saturday,12:00 PM
401762434,2025,1,regular,2025-08-30 16:00:00+00:00,False,False,False,False,,3852,Navy-Marine Corps Memorial Stadium,2426,Navy,fbs,American Athletic,,,,1543.0,,2678,VMI,fcs,Southern,,,,,,,,,2025-08-30,Saturday,12:00 PM
401762792,2025,1,regular,2025-08-30 16:00:00+00:00,False,False,False,False,,3696,Dix Stadium,2309,Kent State,fbs,Mid-American,,,,1006.0,,2771,Merrimack,fcs,FCS Independents,,,,,,,,,2025-08-30,Saturday,12:00 PM
401754520,2025,1,regular,2025-08-30 16:00:00+00:00,False,False,False,False,,3752,Acrisure Stadium,221,Pittsburgh,fbs,ACC,,,,1470.0,,2184,Duquesne,fcs,NEC,,,,,,,,,2025-08-30,Saturday,12:00 PM
401752676,2025,1,regular,2025-08-30 16:00:00+00:00,False,False,True,False,,5348,Mercedes-Benz Stadium,183,Syracuse,fbs,ACC,,,,1499.0,,2633,Tennessee,fbs,SEC,,,,1776.0,,,,Aflac Kickoff,2025-08-30,Saturday,12:00 PM
401752670,2025,1,regular,2025-08-30 16:45:00+00:00,False,False,False,False,,3683,Kroger Field,96,Kentucky,fbs,SEC,,,,1498.0,,2649,Toledo,fbs,Mid-American,,,,1454.0,,,,,2025-08-30,Saturday,12:45 PM
401756878,2025,1,regular,2025-08-30 18:00:00+00:00,False,False,False,False,,3842,Milan Puskar Stadium,277,West Virginia,fbs,Big 12,,,,1470.0,,2523,Robert Morris,fcs,NEC,,,,,,,,,2025-08-30,Saturday,2:00 PM
401754518,2025,1,regular,2025-08-30 18:00:00+00:00,False,False,False,False,,3615,"Alumni Stadium (Chestnut Hill, MA)",103,Boston College,fbs,ACC,,,,1508.0,,2230,Fordham,fcs,Patriot,,,,,,,,,2025-08-30,Saturday,2:00 PM
401757167,2025,1,regular,2025-08-30 18:00:00+00:00,False,False,False,False,,3892,Pratt & Whitney Stadium,41,UConn,fbs,FBS Independents,,,,1454.0,,2115,Central Connecticut,fcs,NEC,,,,,,,,,2025-08-30,Saturday,2:00 PM
401752806,2025,1,regular,2025-08-30 18:30:00+00:00,False,False,False,False,,3830,"Memorial Stadium (Bloomington, IN)",84,Indiana,fbs,Big Ten,,,,1800.0,,295,Old Dominion,fbs,Sun Belt,,,,1480.0,,,,,2025-08-30,Saturday,2:30 PM
401754519,2025,1,regular,2025-08-30 19:00:00+00:00,False,False,False,False,,3873,L&N Federal Credit Union Stadium,97,Louisville,fbs,ACC,,,,1706.0,,2198,Eastern Kentucky,fcs,UAC,,,,,,,,,2025-08-30,Saturday,3:00 PM
401762793,2025,1,regular,2025-08-30 19:30:00+00:00,False,False,False,False,,3764,Huskie Stadium,2459,Northern Illinois,fbs,Mid-American,,,,1470.0,,107,Holy Cross,fcs,Patriot,,,,,,,,,2025-08-30,Saturday,3:30 PM
401756853,2025,1,regular,2025-08-30 19:30:00+00:00,False,False,False,False,,3772,Jack Trice Stadium,66,Iowa State,fbs,Big 12,,,,,,233,South Dakota,fcs,MVFC,,,,,,,,,2025-08-30,Saturday,3:30 PM
401760359,2025,1,regular,2025-08-30 19:30:00+00:00,False,False,False,False,,3713,Falcon Stadium,2005,Air Force,fbs,Mountain West,,,,1438.0,,2083,Bucknell,fcs,Patriot,,,,,,,,,2025-08-30,Saturday,3:30 PM
401752807,2025,1,regular,2025-08-30 19:30:00+00:00,False,False,False,False,,3632,Beaver Stadium,213,Penn State,fbs,Big Ten,,,,1878.0,,2440,Nevada,fbs,Mountain West,,,,1294.0,,,,,2025-08-30,Saturday,3:30 PM
401762456,2025,1,regular,2025-08-30 19:30:00+00:00,False,False,False,False,,3985,Warren McGuirk Alumni Stadium,113,Massachusetts,fbs,Mid-American,,,,1193.0,,218,Temple,fbs,American Athletic,,,,1192.0,,,,,2025-08-30,Saturday,3:30 PM
401752669,2025,1,regular,2025-08-30 19:30:00+00:00,False,False,False,False,,3917,Sanford Stadium,61,Georgia,fbs,SEC,,,,1839.0,,276,Marshall,fbs,Sun Belt,,,,1574.0,,,,,2025-08-30,Saturday,3:30 PM
401752665,2025,1,regular,2025-08-30 19:30:00+00:00,False,False,False,False,,3697,Doak Campbell Stadium,52,Florida State,fbs,ACC,,,,1408.0,,333,Alabama,fbs,SEC,,,,1824.0,,,,,2025-08-30,Saturday,3:30 PM
